Capacity [A.h],Voltage [V]
-0.009737740037389723,1.2
-0.009730991779289795,1.1958680555555554
-0.009724070740638406,1.191736111111111
-0.009716972542281441,1.1876041666666666
-0.009709692696391945,1.1834722222222223
-0.00970222660389366,1.1793402777777777
-0.009694569551829804,1.1752083333333332
-0.00968671671067621,1.1710763888888889
-0.009678663131598054,1.1669444444444443
-0.009670403743649336,1.1628125
-0.009661933350914313,1.1586805555555555
-0.009653246629590119,1.1545486111111112
-0.009644338125009762,1.1504166666666666
-0.009635202248604782,1.146284722222222
-0.009625833274806778,1.1421527777777778
-0.009616225337887141,1.1380208333333333
-0.009606372428734243,1.133888888888889
-0.00959626839156745,1.1297569444444444
-0.009585906920587283,1.1256249999999999
-0.009575281556561125,1.1214930555555556
-0.009564385683343894,1.117361111111111
-0.009553212524333119,1.1132291666666667
-0.00954175513885793,1.1090972222222222
-0.009530006418501475,1.1049652777777776
-0.00951795908335638,1.1008333333333333
-0.009505605678212816,1.0967013888888888
-0.009492938568678933,1.0925694444444445
-0.00947994993723334,1.0884375
-0.009466631779209464,1.0843055555555554
-0.009452975898711656,1.080173611111111
-0.009438973904462952,1.0760416666666666
-0.009424617205584547,1.0719097222222222
-0.00940989700730703,1.0677777777777777
-0.00939480430661361,1.0636458333333332
-0.009379329887815565,1.0595138888888889
-0.009363464318060292,1.0553819444444443
-0.009347197942772462,1.05125
-0.009330520881028813,1.0471180555555555
-0.00931342302086732,1.0429861111111112
-0.009295894014531559,1.0388541666666666
-0.009277923273651196,1.034722222222222
-0.009259499964359721,1.0305902777777778
-0.009240613002350651,1.0264583333333333
-0.00922125104787359,1.022326388888889
-0.009201402500671708,1.0181944444444444
-0.009181055494862365,1.0140625
-0.009160197893762762,1.0099305555555556
-0.009138817284662743,1.005798611111111
-0.009116900973547021,1.0016666666666667
-0.009094435979769317,0.9975347222222222
-0.00907140903068115,0.9934027777777777
-0.009047806556218216,0.9892708333333333
-0.009023614683447534,0.9851388888888889
-0.008998819231078805,0.9810069444444445
-0.008973405703943668,0.9768749999999999
-0.008947359287446839,0.9727430555555555
-0.008920664841993376,0.9686111111111111
-0.008893306897396631,0.9644791666666667
-0.008865269647271735,0.9603472222222222
-0.008836536943419827,0.9562152777777777
-0.008807092290208516,0.9520833333333333
-0.008776918838954461,0.9479513888888889
-0.008745999382314282,0.9438194444444444
-0.008714316348690415,0.9396875
-0.008681851796658887,0.9355555555555555
-0.0086485874094264,0.9314236111111112
-0.00861450448932452,0.9272916666666666
-0.00857958395234921,0.9231597222222222
-0.008543806322754352,0.9190277777777778
-0.008507151727708388,0.9148958333333332
-0.008469599892023673,0.9107638888888889
-0.008431130132968565,0.9066319444444444
-0.00839172135517284,0.9025
-0.008351352045637455,0.8983680555555555
-0.008310000268860238,0.894236111111111
-0.008267643662089569,0.8901041666666667
-0.008224259430718679,0.8859722222222222
-0.008179824343833735,0.8818402777777777
-0.008134314729929372,0.8777083333333333
-0.008087706472805985,0.8735763888888889
-0.008039975007663534,0.8694444444444445
-0.007991095317407309,0.8653124999999999
-0.00794104192918154,0.8611805555555556
-0.007889788911147395,0.8570486111111111
-0.007837309869522444,0.8529166666666667
-0.007783577945899194,0.8487847222222222
-0.007728565814860916,0.8446527777777777
-0.007672245681913489,0.8405208333333334
-0.007614589281752504,0.8363888888888888
-0.007555567876885468,0.8322569444444444
-0.007495152256629329,0.828125
-0.007433312736504143,0.8239930555555555
-0.007370019158044088,0.8198611111111112
-0.007305240889047412,0.8157291666666666
-0.0072389468242874625,0.8115972222222222
-0.007171105386707034,0.8074652777777778
-0.007101684529118823,0.8033333333333333
-0.007030651736434858,0.7992013888888889
-0.006957974028448065,0.7950694444444444
-0.006883617963189213,0.7909375
-0.006807549640882543,0.7868055555555555
-0.006729734708523411,0.7826736111111111
-0.006650138365101128,0.7785416666666667
-0.006568725367489987,0.7744097222222222
-0.006485460037031226,0.7702777777777778
-0.006400306266828109,0.7661458333333333
-0.0063132275297760505,0.7620138888888889
-0.00622418688734871,0.7578819444444445
-0.006133146999160417,0.7537499999999999
-0.0060400701333242915,0.7496180555555556
-0.005944918177624096,0.7454861111111111
-0.005847652651516941,0.7413541666666666
-0.0057482347189819595,0.7372222222222222
-0.0056466252022288905,0.7330902777777777
-0.005542784596278176,0.7289583333333334
-0.005436673084422208,0.7248263888888888
-0.005328250554575057,0.7206944444444444
-0.005217476616515084,0.7165625
-0.005104310620022163,0.7124305555555556
-0.004988711673907887,0.7082986111111111
-0.0048706386659335766,0.7041666666666666
-0.004750050283607148,0.7000347222222223
-0.004626905035845502,0.6959027777777778
-0.0045011612754848425,0.6917708333333333
-0.004372777222615999,0.6876388888888889
-0.004241710988716838,0.6835069444444445
-0.00410792060154791,0.679375
-0.003971364030771409,0.6752430555555555
-0.003831999214246805,0.6711111111111111
-0.0036897840849495966,0.6669791666666667
-0.0035446765984519443,0.6628472222222223
-0.0033966347608960336,0.6587152777777777
-0.0032456166573823983,0.6545833333333333
-0.0030915804806864577,0.6504513888888889
-0.0029344845602069245,0.6463194444444444
-0.0027742873910396515,0.6421875
-0.002610947663059798,0.6380555555555556
-0.002444424289884055,0.6339236111111111
-0.0022746764375728536,0.6297916666666666
-0.0021016635529201508,0.6256597222222222
-0.0019253453911655775,0.6215277777777778
-0.0017456820429501817,0.6173958333333334
-0.0015626339603230597,0.6132638888888888
-0.0013761619815916056,0.6091319444444444
-0.0011862273547929552,0.605
-0.0009927917595487189,0.6008680555555556
-0.0007958173270487638,0.5967361111111111
-0.0005952666578934781,0.5926041666666667
-0.0003911028375066187,0.5884722222222222
-0.00018328944881356758,0.5843402777777778
2.820941813809312e-05,0.5802083333333333
0.00024342915995696768,0.5760763888888889
0.0004624046574448707,0.5719444444444445
0.0006851702772709394,0.5678125
0.0009117598781799123,0.5636805555555555
0.0011422068221507587,0.5595486111111111
0.0013765439909404868,0.5554166666666667
0.0016148038084668574,0.5512847222222222
0.001857018269502025,0.5471527777777778
0.0021032189751675427,0.5430208333333333
0.0023534371757384757,0.5388888888888889
0.002607703821281681,0.5347569444444444
0.002866049620669161,0.530625
0.0031285051095228094,0.5264930555555556
0.003395100727660621,0.5223611111111112
0.0036658669066269734,0.5182291666666666
0.0039408341679003315,0.5140972222222222
0.004220033232380542,0.5099652777777778
0.0045034951417641834,0.5058333333333334
0.004791251392420483,0.5017013888888889
0.00508333408238079,0.4975694444444444
0.005379776072052204,0.4934375
0.005680611159259217,0.48930555555555555
0.005985874269206179,0.4851736111111111
0.006295601659937674,0.4810416666666667
0.0066098311438522305,0.4769097222222223
